	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
803	2827_0	this computer i used daily nice compact design	design	40--46	1	used daily nice compact design	1.0
804	2478_1	all things trackpad make navigating around computer programs much simpler quicker easier	programs	88--96	1	navigating around computer programs	0.0
805	1419_0	i actually contact toshiba i started problem given run around i supplied serial number order delay sending laptop warrenty expired	warrenty	168--176	-1	sending laptop warrenty	0.0
806	668_0	features great thing needs better speakers	features	4--12	1	features great needs	1.0
807	1850_0	after i turned email next vain help get acknowledge warranty still valid	warranty	86--94	0	acknowledge warranty still valid	0.0
808	1817_0	great value fast delivery computer works brand new no problems pleased	delivery	18--26	1	great fast delivery computer	1.0
809	2498_0	but willing pay another 200 dollar windows disc	windows disc	54--66	0	willing pay another 200 dollar windows disc	-1.0
810	2106_0	it features power i wanted replace desktop machine	features	19--27	1	it features power	0.0
811	1558_0	the macbook starts fast crash fantastic display small light i 13 3 model always complaining updates lost connections errors blue screens etc	display	56--63	1	fast crash fantastic display small light i complaining	1.0
812	2311_0	the battery holds well built solidly runs fast	battery	4--11	1	the battery holds	0.0
813	2859_2	some features arent friendly volume wheel sound quality etc	features	5--13	-1	some features arent friendly wheel	-1.0
814	1548_2	apparently well built gorgeous look i5 macbook pro winning combination price performance	built	16--21	1	well built gorgeous look	1.0
815	1216_2	now machine connect toshiba says replace connection card may warranty repair 30 days i warranty even though constant 5 month occupance since i bought netbook	warranty	161--169	-1	connection card may warranty repair days i warranty occupance i	0.0
816	1496_1	all programs keynote pages numbers option save documents microsoft compatible really eliminates need actual	keynote	21--28	0	all programs keynote pages eliminates	0.0
817	1441_1	stopped booting up less week one year warranty	one year warranty	45--62	0	booting less week one year warranty	0.0
818	1495_0	the mac version microsoft office cheaper buying actual works well	mac version microsoft office	4--35	1	the mac version microsoft office buying	0.0
819	2808_4	cords coming right power plus cords coming front headphones mic plus network connection left make messy setup cords going every direction	network connection	89--107	-1	plus plus network connection left	0.0
820	2408_1	mac also many apps programs quite cheap free	programs	27--35	1	apps programs quite cheap free	1.0
821	2005_0	high quality killer gui extremely stable highly expandable bundled lots good applications easy use absolutely gorgeous	quality	14--21	1	high quality killer extremely stable highly expandable	-1.0
822	2021_0	this wiped several programs installed computer bought	programs	23--31	-1	several programs installed	0.0
823	2226_1	now i best worlds power ease mac	ease	61--65	1	worlds power ease mac	1.0
824	537_0	i purchased major electronics store took service department find problem	service department	71--89	0	service department find	0.0
825	1469_0	next acer laptop fans bottom right laptop	fans	23--27	0	acer laptop fans bottom right laptop	0.0
826	3080_0	i wish toshiba would allow customers select option boots os setup removes unnecessary stuff	os	83--85	0	os setup	0.0
827	150_0	it well built	built	16--21	1	it well built	1.0
828	3083_0	niece nephew played web games runs anything require dedicated video card	video card	102--112	0	dedicated video card	1.0
829	334_1	it also capable moderate video editing although may need performance boost larger macbook pros heavy duty mobile video editing	performance	82--93	-1	performance boost	1.0
830	2532_2	the downfall lot software i work mac iwork not worth price	price	97--102	-1	iwork not worth price	-1.0
831	2082_0	if need machine surfing email checking word processing watching movie two machine want	word processing	66--81	0	checking word processing	0.0
832	2858_0	like price operation	price	9--14	1	price operation	0.0
833	1775_1	the 13 macbook pro fits budget free shipping no tax ca best price get great product	price	100--105	1	free shipping tax best price	1.0
834	2620_0	the thing perfect netbook speakers not loud i expected	speakers	60--68	-1	the thing perfect netbook speakers expected	1.0
835	3026_0	the first full charge battery got 2 full hours	battery	30--37	-1	the first full charge battery got full hours	0.0
836	2471_0	suffice say macbook pro keeps going long battery life blazing speed	battery life	63--75	1	going long battery life	0.0
837	2808_1	cords coming right power plus cords coming front headphones mic plus network connection left make messy setup cords going every direction	power	31--36	-1	coming right power cords coming messy cords	-1.0
838	1086_0	either the computer is too slow to detect the keys typed this is unlikely as i am a slow typist or the keyboard simply does not detect the keys being typed	keys	46--50	-1	the computer is slow detect the keys typed this is unlikely as i am a slow typist or the keyboard simply does not detect the keys typed	0.0
839	1021_0	this computer i issues keyboard lost half keyboard functions	keyboard	50--58	-1	this computer i issues keyboard lost half keyboard functions	-1.0
840	2727_1	tried make recovery disk wouldnt get passed first recovery disk	recovery disk	58--71	-1	recovery disk wouldnt passed first recovery disk	0.0
841	2380_0	previous laptops pc still mac osx clean smooth operating system	mac osx	53--60	1	previous pc still mac osx clean	1.0
842	1401_0	brief summary would say would not recommend dell vostro 1000 anyone due right awful setup opinion steer clear want decent laptop	setup	131--136	-1	due awful setup opinion	-1.0
843	942_0	taking back best buy i found tiny plastic piece inside broken manuf issue	manuf	82--87	-1	broken manuf issue	-1.0
844	1633_0	as die hard windows enthusiast i shunned idea mac point	windows	14--21	1	hard windows enthusiast	1.0
845	560_0	easy anyone use apple specially macbook pro notebook	use	30--33	1	easy use apple	1.0
846	2050_0	the system comes not work properly trying fix problems started not working	system	4--10	-1	the system comes	0.0
847	1738_4	i plug 22 monitor speedy macosx performs well dual core dell windows 7 quad core	22 monitor	25--36	0	22 monitor macosx	0.0
848	2791_1	most everything fine machine speed capacity build	capacity	50--58	1	fine capacity	1.0
849	621_0	called headquarters report tft panel broken fixed end week week 3	tft panel	45--54	-1	called headquarters report tft panel broken	-1.0
850	1602_0	if feel comfortable buy case happy plus looks nice i bought white one best buy	case	62--66	1	buy case happy	1.0
851	2339_0	i charge night skip taking cord good battery life	cord	41--45	0	cord good life	1.0
852	41_0	also space bar makes noisy click every time use	space bar	10--19	-1	space bar makes	0.0
853	2876_0	the games included good games	games	4--9	0	the games included good games	1.0
854	3085_0	i looked around based price features comparison brand i trusted i landed	price	33--38	0	price brand	0.0
855	2096_0	the price premium little much start looking features worth added cash	price premium	4--17	-1	the price premium little much start	0.0
856	3017_0	the improvements os relatively gradual substantive	os	24--26	1	improvements os relatively gradual substantive	1.0
857	2561_0	i wish iwork ms office came mac ms office even come pc laptops	iwork	7--12	-1	iwork office office	0.0
858	654_1	temperatures outside alright not track core processing unit temperatures	core processing unit temperatures	64--97	0	track core processing unit temperatures	0.0
859	2319_0	with windows laptops wireless mouse absolute must	wireless mouse	23--37	0	wireless mouse absolute	0.0
860	2992_0	battery not upgradable longer life battery	battery	0--7	-1	battery upgradable	0.0
861	834_1	this laptop looks great surface 17 inch screen good price point nice appearance boots quickly runs fast etc	price point	63--74	1	screen good price point	1.0
862	653_0	it played various games without problems ran aero smoothly flawlessly	games	18--23	0	various games problems ran	-1.0
863	3082_0	this not serious gaming laptop serious media machine	gaming	22--28	-1	this not serious gaming laptop serious media machine	1.0
864	379_0	i loaded windows 7 via bootcamp works flawlessly	windows 7	9--18	1	windows 7 bootcamp works	0.0
865	2820_0	fast great visual	visual	12--18	1	fast great visual	1.0
866	2022_0	it not even software play dvd	software	26--34	-1	software dvd	0.0
867	2231_3	find many laptops performance even better lower price cannot find look easy applications experience mac	applications	122--134	1	find find applications mac	0.0
868	2174_0	not mention battery life absolutely amazing	battery life	20--32	1	mention battery life absolutely amazing	1.0
869	43_0	it absolutely horrible use despite called advanced features	features	69--77	-1	use despite called advanced features	-1.0
870	1928_0	after week i finally got back told motherboard failed installed new motherboard	motherboard	63--74	-1	got told motherboard failed installed new motherboard	-1.0
871	2626_1	the switchable graphic card pretty sweet want gaming laptop	gaming	58--64	0	gaming laptop	0.0
872	2573_3	i upgraded memory replaced base windows 7 starter win 7 home runs fine	runs	84--88	1	home runs fine	1.0
873	1580_1	a great computer light home use business use	business use	40--52	1	a great computer light home use business use	1.0
874	2482_0	we love size screen although still lightweight easy tote around	size screen	12--30	1	size screen although still lightweight tote	0.0
875	1993_0	whenever tried turn would restart soon bios launched windows windblows i like ot call	bios	62--66	-1	restart bios launched	1.0
876	1803_0	my friend replace entire motherboard wife looks like i well	motherboard	41--52	-1	entire motherboard wife looks	0.0
877	2723_0	graphics clean sharp internet interfaces seamless	graphics	0--8	1	graphics clean sharp	1.0
878	1749_0	only thing using document creation apple doesnt provide kind word processor works windows iwork cheap compared office	iwork	150--155	1	thing iwork office	0.0
879	1887_2	returned laptop repair 2nd time came back obvious physical damage keyboard bulging speaker grill pressed buttons not working usb ports inoperative	buttons	133--140	-1	grill buttons working inoperative	0.0
880	2509_0	not versions programs able saved worked opened pc mac versions programs mac graphically functionally superior	programs	35--43	1	versions programs able mac versions programs mac graphically functionally superior	1.0
881	1436_2	i vista i unable install uninstall programs	install	32--39	-1	i vista i unable install uninstall programs	0.0
882	2760_1	it fast easy easy easy set easy hook wireless network	hook wireless network	50--77	1	it easy easy easy set easy hook wireless network	1.0
883	2973_0	it plenty memory lots hard drive great graphics	memory	17--23	1	it plenty memory lots	0.0
884	671_1	this nicely sized laptop lots processing power long battery life	battery life	69--81	1	power long battery life	0.0
885	982_0	then i fixed dc jack inside unit rewired dc jack outside laptop replaced power brick	dc jack	22--29	0	dc jack unit rewired dc jack outside laptop replaced	0.0
886	1948_0	you even get satellite card i bought begin	satellite card	21--35	-1	get satellite card bought	0.0
887	1606_0	i also not like loud noises made bottom computer would get really hot	noises	29--35	-1	loud noises made	0.0
888	1372_2	we numerous problems vista adobe flash player quits uninstalled reinstalled internet explore quits lose whatever working also windows update appeared computer since got updated probably 400 times update	internet explore	129--145	-1	quits internet explore quits	0.0
889	613_0	computer crashed frequently battery life decreased quickly	battery life	33--45	-1	battery life decreased	0.0
890	1131_0	then 4 months charger stopped working i forced go buy new hardware keep computer running	charger	30--37	-1	4 months charger stopped	-1.0
891	1922_2	the battery life supposed 6 hours even i ran battery high efficiency setting battery would last average 2 5 3 hours	battery	116--123	-1	battery life battery high efficiency setting battery	1.0
892	2486_0	the real stand computer feel keyboard speed	keyboard	55--63	1	keyboard speed	0.0
893	2532_1	the downfall lot software i work mac iwork not worth price	software	34--42	-1	the downfall lot software work iwork	0.0
894	1743_2	but sitting lap desk front looks big enough could im used lenovo 10 tablet plus great size i want unplug external keyboard mouse monitor take i take photos video	mouse	208--213	0	unplug external keyboard mouse	0.0
895	2437_0	pay attention specs want options	specs	21--26	0	pay attention specs want	-1.0
896	1799_2	the sata controller motherboard chip lets cpu talk hard drive	cpu	59--62	0	cpu talk	0.0
897	453_4	there several programs school office use pages numbers keynote etc music garageband photo management photo booth iphoto video editing movie making imovie etc	imovie	176--182	0	video movie making imovie	0.0
898	1769_0	the internet capabilities also strong picks signals easily	internet capabilities	4--25	1	the internet capabilities picks	0.0
899	2471_1	suffice say macbook pro keeps going long battery life blazing speed	speed	88--93	1	blazing speed	0.0
900	2649_3	the processor screams unique way apple osx 16 functions graphics routed hardware rather software	hardware	126--134	0	routed hardware	0.0
901	848_0	how toshiba handles repair seems vary folks indicate charged even initial fix others repair done 5 times	repair	130--136	1	repair seems initial fix others repair done	0.0
902	124_0	it not ideal children temp	temp	44--48	-1	it not ideal children temp	-1.0
903	3075_0	i find using 10 key i thought i would	10 key	24--30	1	using 10 key thought	0.0
904	1450_0	the best thing build computer u company like dell allow choose components better price get computer compares one apple $2000 systems google dell coupons find codes take signifiant amount price	components	112--122	1	choose components get	0.0
905	2414_0	the 17 inch screen large computer light	17 inch screen	4--18	-1	the 17 inch screen large light	0.0
906	2873_0	the price good product top quality	price	4--9	1	price good	1.0
907	337_2	however multi touch gestures large tracking area make external mouse unnecessary unless gaming	external mouse	73--87	0	make external mouse unnecessary gaming	0.0
908	552_2	overall poor features average performance poor battery life excellent price value poor	battery life	54--66	1	battery life excellent	1.0
909	2393_2	i love size keyboard functions	functions	31--40	1	keyboard functions	0.0
910	1430_1	i not much computer techie i understand internal problems though i trend micro antiviral program	antiviral program	122--139	0	trend micro antiviral program	0.0
911	1049_0	can close 2nd hdd bay since brackets break even still shut that could major flaw dual hdd user	hdd bay	20--27	-1	close 2nd hdd bay major hdd user	0.0
912	2725_0	sound card limited though	sound card	0--10	-1	sound card limited	-1.0
913	1682_0	as user pc i admit macbook pro better running system i found getting job done quicker	running system	71--85	1	admit pro better running system found	1.0
914	2401_0	if looking something fly massive spreadsheets play graphics intensive game better getting machine aimed segment market	game	103--107	0	play graphics intensive game	1.0
915	63_0	i also keyboard replaced expense	keyboard	26--34	-1	keyboard replaced	0.0
916	1496_0	all programs keynote pages numbers option save documents microsoft compatible really eliminates need actual	programs	11--19	1	programs keynote	0.0
917	2894_1	the difference toshiba lot memory hard drive space	hard drive space	56--72	1	memory hard drive space	-1.0
918	213_0	speakers small real use	speakers	0--8	-1	speakers small real use	0.0
919	2738_0	comfterbale use light easy transport	use	15--18	1	comfterbale use light easy transport	1.0
920	1748_0	typing keyboard becomes uncomfortable extended use due sharp edges wrists rest	keyboard	14--22	-1	typing keyboard becomes	0.0
921	1561_1	with awesome graphics assuring security perfect	security	35--43	1	awesome graphics security perfect	1.0
922	440_0	i love solid build light wt excellent battery life	build	17--22	1	love build	1.0
923	2510_1	waiting i7 well worth great value price	i7	16--18	1	waiting i7 well worth	1.0
924	1481_0	it extremely portable easily connects wifi library elsewhere	connects wifi	36--52	1	it extremely portable easily connects wifi library elsewhere	1.0
925	654_0	temperatures outside alright not track core processing unit temperatures	temperatures	0--12	0	temperatures alright	1.0
926	1541_0	the fact spend $100 webcam underscores value machine	webcam	48--54	0	webcam underscores	0.0
927	2332_0	it real touchpad not toy i saw brands	touchpad	13--21	1	touchpad toy	0.0
928	1641_0	i forever changed no longer buy windows based machine personal use	windows	46--53	-1	buy windows based	0.0
929	575_1	i work film editing post production i need laptop not power memory speed well	memory	92--98	0	memory speed	0.0
930	1824_0	when call tech support routed someone another country not know	tech support	14--26	-1	call tech support routed	1.0
931	1284_0	thus carry slanted angle screen topple slide understand i mean	screen	48--54	-1	screen slide	0.0
932	2086_0	my only issues 1 screen video resolution increase higher resolution 1024 x 60	screen video resolution	27--50	-1	only issues 1 screen video resolution increase higher resolution 1024 x	1.0
933	2306_0	overall would recommend anybody tell want burn music play video games buy cd drive	cd drive	130--138	0	buy cd drive	0.0
934	1365_0	purchased toshiba lap top worked good warrenty went	warrenty	64--72	-1	good warrenty went	1.0
935	3058_1	improved nothing else resolution appearance cooling system graphics card etc	appearance	47--57	-1	resolution appearance	0.0
936	2578_1	additional caveat base installation comes toshiba specific software may may not user liking	software	74--82	-1	toshiba specific software user	0.0
937	1047_0	4 ram slots 2 hdd bays 16gb ram support no wireless issues least	ram slots	3--12	0	4 ram slots bays ram support	1.0
938	1398_1	although windows vista compared windows xp sucks	windows xp	39--49	1	windows vista compared windows xp sucks	1.0
939	1068_1	i reloaded windows 7 ultimate bluetooth fingerprint reader software would not load	bluetooth	44--53	-1	bluetooth software	0.0
940	2516_0	great pick portability affordability	portability	15--26	1	portability affordability	0.0
941	433_0	and deal company even worse nightmare	company	28--35	-1	and deal company nightmare	0.0
942	661_0	there also seemed problem hard disc certain times windows loads claims not able find drivers files	hard disc	43--52	-1	seemed problem hard disc	-1.0
943	945_0	again i sent back replaced motherboard fan inside	motherboard	45--56	0	motherboard fan	1.0
944	1660_1	theres also idvd program dedicated putting favorite media together photos recordings video projects one program create perfect memoir parents family siblings person important life may	program	20--27	1	program dedicated one program create	1.0
945	2076_0	it fast excellent battery life	battery life	28--40	1	excellent battery life	1.0
946	2385_1	i impressed battery life performance small amount memory	performance	50--61	1	i impressed battery life performance small memory	1.0
947	2577_0	the downside netbook pretty much netbook screen size not something i stare entire 10 11 hours battery life five days week	screen size	70--81	0	netbook netbook screen size	0.0
948	2415_0	the gray color good choice	gray color	4--14	1	gray color good choice	1.0
949	696_0	i looking mac portable features i looking	features	58--66	1	i looking features i looking	0.0
950	1625_0	i cannot happier service product	service	29--36	1	service product	0.0
951	2505_0	multiple page viewer allows press one button see every separate page currently opened time one screen great working non stop shopping online	multiple page viewer	8--28	1	multiple page viewer allows every separate page opened	0.0
952	1749_1	only thing using document creation apple doesnt provide kind word processor works windows iwork cheap compared office	office	177--183	-1	iwork cheap compared office	0.0
953	1591_2	strong performance device makes use fun strong sense era speed this device serves modern requirements strong game useful designers	use	40--43	1	use fun	1.0
954	2385_2	i impressed battery life performance small amount memory	memory	89--95	-1	i impressed performance small amount memory	1.0
955	1654_0	it applications terrific including replacements microsoft office	applications	5--17	1	it applications terrific office	1.0
956	2424_0	it much faster desktop core2 quad running 2 83 ghz	core2 quad	45--55	0	it faster desktop core2 quad running	0.0
957	1480_2	my friend reports notebook astonishing performance picture quality ease use	use	91--94	1	ease use	1.0
958	2261_0	the apple applications ex iphoto fun easy really cool use unlike competition	apple applications	4--22	1	apple applications fun easy	1.0
959	1600_0	also one users mentioned edges macbook sharp money spend one incase shells seem problem	edges	41--46	-1	edges macbook sharp	0.0
960	2095_0	i render archd movies little effort problem pc unless quad core i7	quad core i7	97--109	1	pc unless quad core i7	0.0
961	2764_0	i took 3 4 years researching brands prices laptops	prices	40--46	0	prices laptops	0.0
962	38_0	in shop macbooks encased soft rubber enclosure never know razor edge buy get home break seal use clever con	rubber enclosure	50--66	1	soft rubber enclosure know	0.0
963	659_1	i reinstalled windows recovery discs everything seemed good	recovery discs	34--48	1	recovery discs everything	0.0
964	3004_2	i dual boot linux security prone os performs flawlessly	performs	63--71	1	dual os performs flawlessly	1.0
965	1531_0	the programs great like iphoto love editing capabilities imail incorporate address book ipod ipad imovie etc	programs	4--12	1	the programs great imail	1.0
966	13_0	the amd turin processor seems always perform much better intel	amd turin processor	4--23	1	the amd turin processor seems	0.0
967	1749_2	only thing using document creation apple doesnt provide kind word processor works windows iwork cheap compared office	word processor	102--116	-1	word processor windows	0.0
968	2760_0	it fast easy easy easy set easy hook wireless network	set	34--40	1	easy easy easy set easy hook	1.0
969	2966_0	the downfall battery last 1 5 2 0 hrs not plugged	battery	25--32	-1	the downfall battery last plugged	0.0
970	357_1	keyboard reasonable size	size	23--27	1	keyboard reasonable size	0.0
971	2723_1	graphics clean sharp internet interfaces seamless	internet interfaces	30--49	1	internet interfaces seamless	0.0
972	1417_2	the board bad connector power supply shortly warrenty expires power supply start issues	power supply	41--53	-1	the board bad connector power supply expires power supply issues	-1.0
973	1766_0	it sleek lightweight charges quickly needed	charges	32--39	1	sleek lightweight charges quickly	-1.0
974	235_0	the screen bright clear operating system solid friendly novice	screen	4--10	1	the screen bright clear system	1.0
975	2517_0	the black model also nice seamless appearance one better looking notebooks i seen	appearance	46--56	1	appearance looking	0.0
976	597_0	the ilife software comes computer simple use produces great finished product	ilife software	4--18	1	the ilife software comes	0.0
977	76_0	i even got teenage son one features offers like ichat photobooth garage band	features	46--54	1	features offers	0.0
978	2267_1	as computer science student college i find portability longevity ease use computer make shockingly want homework	longevity	71--80	1	find longevity	0.0
979	838_1	the port secured motherboard happens see plug gone	port	4--8	0	port secured motherboard	1.0
980	1030_0	also kinda loud fan running	fan	25--28	-1	also kinda loud fan running	1.0
981	170_0	the battery never worked well	battery	4--11	-1	the battery worked	0.0
982	2808_2	cords coming right power plus cords coming front headphones mic plus network connection left make messy setup cords going every direction	headphones	69--79	-1	coming coming front headphones	0.0
983	2644_3	it much easier navigate operating system find files runs lot faster	find files	65--75	1	find files runs	0.0
984	1805_0	good every day computing web browsing	web browsing	33--45	1	good day computing web browsing	1.0
985	2085_0	i found 2gb stick bit $50 nice portable definitely decent enough system keep entertained sitting airplane couple hours hotel taking care last minute details documents	system	91--97	1	nice portable definitely decent enough system keep	1.0
986	2747_0	plain simple laptop runs great loads fast	runs	29--33	1	plain simple laptop runs great loads fast	1.0
987	2531_0	love stability mac software operating system	stability	9--18	1	love stability system	1.0
988	453_6	there several programs school office use pages numbers keynote etc music garageband photo management photo booth iphoto video editing movie making imovie etc	movie making	162--174	0	pages video editing movie making imovie	0.0
989	1913_1	this process continued repeat mother board replaced 4 times hard drive replaced 3 times	hard drive	99--109	-1	replaced times hard drive replaced times	-1.0
990	2886_1	my dad one first toshiba ever made yes abit slow still works well hooked ethernet	works	85--90	1	dad still works well hooked ethernet	1.0
991	496_1	setting would change reason screen size would change like pixel sizes whatnot	screen size	42--53	-1	change screen size change	0.0
992	453_8	there several programs school office use pages numbers keynote etc music garageband photo management photo booth iphoto video editing movie making imovie etc	music	85--90	0	music garageband	0.0
993	2944_0	i love write play graphics html programming new toshiba works great	works	79--84	1	programming new toshiba works great	1.0
994	3030_0	it bad i thinking i got half battery something	battery	48--55	-1	battery something	0.0
995	331_3	it 10 hour battery life web browsing word editing making perfect classroom office terms gaming movie playing battery life 5 hours	movie playing	153--166	0	life making perfect office terms gaming movie playing life hours	1.0
996	116_0	despite inconvenient weight i opted 12 cell battery	12 cell battery	49--64	1	opted 12 cell battery	0.0
997	1623_1	with mac computer i free time i wait windows boot shut viruses associated windows	boot	81--88	-1	boot shut	0.0
998	344_1	it bein shop get new hardrive 2 times fix touch control buttons keyboard	touch control buttons	71--92	-1	touch control buttons keyboard	0.0
999	1194_0	it known safari website work know many hosting companies not support	safari	15--21	0	safari work know	0.0
1000	105_0	that possible since make windows xp drivers sound card machine i stuck windows 7 came	windows xp drivers	48--66	-1	windows xp drivers sound windows 7 came	1.0
1001	1480_1	my friend reports notebook astonishing performance picture quality ease use	picture quality	62--77	1	astonishing performance picture quality	0.0
1002	79_0	the os takes getting used especially windows user long learning curve worth	windows	59--66	0	windows user	0.0
1003	1623_2	with mac computer i free time i wait windows boot shut viruses associated windows	shut	92--101	-1	mac computer boot shut viruses	0.0
1004	2220_1	the computer loads 1 10th time pc i programs pc	loads	13--18	1	computer loads 10th pc pc	0.0
1005	2004_0	if really want bang system need run windows applications go apple	system	29--35	1	bang system run	0.0
1006	1535_1	however i love particular mac fast great size fantastic features like lighted keyboard easy mouse pad	features	89--97	1	however love great size fantastic features keyboard easy pad	1.0
1007	1732_0	the thing i like mac sometimes programs i want able run i not able	programs	74--82	-1	i programs i want able run i not able	1.0
1008	2323_1	i like mac os simple easy use	use	47--50	1	like os simple easy use	1.0
1009	1417_4	the board bad connector power supply shortly warrenty expires power supply start issues	power supply	93--105	-1	the board bad connector power supply expires power supply issues	-1.0
1010	1373_0	i noticed windows new system called windows 7 us vista users they get bugs vista investing new system	windows 7	42--51	0	called windows 7	0.0
1011	156_1	it cooling system malfunction 10 minutes general use would not move past error	use	64--67	0	cooling malfunction minutes general use move	0.0
1012	2133_0	but must get 15 inch	15 inch	21--28	1	get 15 inch	0.0
1013	2413_0	the mac takes amount starting time average pc keeps cleaned ready use	starting time	39--55	1	starting time pc	0.0
1014	405_0	now screen going darker darker darker	screen	8--14	-1	now screen going	0.0
1015	1130_1	after replacing hard drive battery stopped working 3 months use frustrating	battery	35--42	-1	battery stopped use frustrating	-1.0
1016	87_0	it easy operate i already ordered software gadgets new rolls royce laptops	software	54--62	0	software gadgets	0.0
1017	1084_0	the first problem is that the keyboard function is simply unsatisfactory	keyboard function	30--47	-1	the first problem is that the keyboard function is unsatisfactory	-1.0
1018	2610_0	it pretty much everything could ever need looks great boot	boot	70--74	1	looks great boot	1.0
1019	400_0	the quality engineering design warranty superior covers damage dropping laptop	quality	4--11	1	quality warranty superior	1.0
1020	2867_1	it easy use features speed power i could ask	speed	40--45	1	use features speed power ask	0.0
1021	2830_1	now i order i not go full scale webcam full keyboard i wanted something basics easy carry i use crutch wheelchair backpack laptop bag	keyboard	64--72	0	go full scale webcam full keyboard	0.0
1022	1937_1	i got back built webcam built mic shorting anytime i touched lid mind means communication fiance deployed i suffered thru would constantly reset computer able use cam mic anytime went	built mic	41--53	-1	back built webcam built mic shorting anytime cam mic anytime went	0.0
1023	2593_0	it full sized touch pad 2 buttons instead one	touch pad	22--31	0	touch pad buttons	0.0
1024	879_1	replaced awesome ergonomic small lightweight power supply power supply weighed machine	power supply	78--90	-1	replaced awesome ergonomic small lightweight power supply power supply weighed	1.0
1025	2387_0	screen awesome battery life good	screen	0--6	1	screen awesome	1.0
1026	2701_0	can listen music watch videos ease great display	display	70--77	1	ease great display	1.0
1027	2563_0	getting apple care plan must	apple care plan	12--27	1	getting apple care plan	1.0
1028	1645_0	see comes laptops buy get normal operating system trials must need stuff come	operating system	62--78	0	normal operating system trials	0.0
1029	1330_0	this i call good sales service	sales service	27--46	1	call good sales service	1.0
1030	1890_0	laptop new condition operational audio problem 1st sent repair	audio	57--62	-1	audio 1st	0.0
1031	1471_0	and not mention using months battery slowly less less hold charge leave unplugged 5 minutes without thing dying	battery	62--69	-1	battery less less hold	0.0
1032	2649_2	the processor screams unique way apple osx 16 functions graphics routed hardware rather software	graphics	94--102	1	unique functions graphics routed	0.0
1033	23_0	the laptop lightweight easily carry around knapsack full text books barely adds weight	carry	43--48	1	laptop lightweight easily carry adds	1.0
1034	1545_0	i use tutoring business since i always bouncing student student ideal portability battery life yes gets 8 hours advertised	portability	108--119	1	ideal portability life	1.0
1035	2937_0	i would recommend internet speed probably thats thing really care	internet speed	41--55	1	internet speed thats	0.0
1036	2465_0	since i keyboard 100 wpm i look unit comfortable keyboard no keys sticking lagging strange configuration extra key etc	keyboard	71--79	1	since i keyboard wpm i look unit comfortable keyboard keys sticking	1.0
1037	2653_0	the pro great product i wish 13 inch models came intel processors comfortable edge edges hurt wrists	intel processors	73--91	-1	came intel processors comfortable	1.0
1038	2346_0	i already hooked sleek look dependability laptop shown	look	32--36	1	sleek look dependability laptop shown	0.0
1039	144_0	i thought price great specs	price	14--19	1	price great specs	1.0
1040	697_1	the 13 macbook pro fits budget free shipping no tax ca best price get great product	price	100--105	1	free shipping tax best price	1.0
1041	2644_0	it much easier navigate operating system find files runs lot faster	operating system	44--60	1	operating system runs	0.0
1042	890_0	your cursor end freaking place it not uncommon accidentally delete words sentences paragraphs mousepad	cursor	5--11	-1	your cursor end not uncommon paragraphs mousepad	0.0
1043	1768_0	iphoto great adding pictures right facebook social networking sites	iphoto	0--6	1	iphoto facebook	0.0
1044	668_1	features great thing needs better speakers	speakers	58--66	-1	needs better speakers	1.0
1045	1738_0	i plug 22 monitor speedy macosx performs well dual core dell windows 7 quad core	macosx	52--58	1	22 monitor speedy macosx performs	0.0
1046	2485_0	i pcs windows takes little getting use	windows	25--32	0	windows takes	0.0
1047	1186_1	and lot writing editing problem since no forward delete key	editing	32--39	-1	and lot editing problem forward key	-1.0
1048	555_0	it perfect everything runs faster average pc	runs	32--36	1	it perfect everything runs pc	1.0
1049	2138_1	with mac worry antivirus software firewall wonderful	firewall	63--71	0	worry software firewall wonderful	1.0
1050	1433_0	nightly computer defrags runs virus scan	virus scan	46--56	0	runs virus scan	0.0
1051	2698_0	i went toshiba online help found suggestions fix	toshiba online help	10--29	1	toshiba online help found	1.0
1052	1454_0	since minor problems slow operation	operation	49--58	-1	minor problems slow operation	-1.0
1053	1647_2	and ram thing makes faster comes sporting 2 gigs high performance handle stuff surf web whole lot faster	surf web	121--133	1	faster handle stuff surf web faster	0.0
1054	1676_0	another great thing beast graphics	beast graphics	27--41	1	thing beast graphics	0.0
1055	2512_0	there nothing complain system	system	39--45	1	complain system	-1.0
1056	2805_0	little short ram get pay	ram	16--19	-1	little short ram pay	-1.0
1057	356_0	great battery life	battery life	6--18	1	great battery life	1.0
1058	1492_0	the fact screen reacts lighting around added luxury working around others dark areas want privacy want bother bright lighting convenient darker softer lit screen	screen	18--24	1	the fact screen reacts convenient darker softer lit screen	0.0
1059	441_0	excellent led monitor well equipped	led monitor	10--21	1	excellent led monitor equipped	1.0
1060	2649_4	the processor screams unique way apple osx 16 functions graphics routed hardware rather software	software	151--159	0	routed rather software	0.0
1061	1696_0	the size perfect i not recommend anything bigger except person exceed limited space gives	size	4--8	1	the size perfect recommend	1.0
1062	2807_4	headphone mic jack front touch pad making touch pad hard use using headphones mic not mention laptop designed right handed person	headphones	97--107	-1	mic headphones mic	0.0
1063	1129_1	did i mention everything size weight keyboard screams bulk	weight	48--54	-1	weight keyboard	0.0
1064	566_0	pros macbook pro notebook large battery life wont worry charge laptop every five hours	battery life	44--56	1	pro large battery life wont	0.0
1065	3_0	it nice look keys easy type	keys	32--36	1	keys easy type	1.0
